DayOfWeek,day_name,total_flights,avg_departure_delay,avg_arrival_delay,cancelled_flights
1,Monday,23769431,8.662824567471917,6.457137471377314,437984
2,Tuesday,23398539,7.205351063929557,5.1512379769998615,477046
3,Wednesday,23508594,7.921430742055352,6.200179662496003,465493
4,Thursday,23669629,9.74560560008289,8.297707080280912,452451
5,Friday,23720545,10.597209193809658,8.921269093816381,434327
6,Saturday,20434549,7.381068513172282,3.820595770255964,316983
7,Sunday,22496146,9.044635784304862,6.27808685637768,343503
